,Name,b2k-plyp-DFT-forward,b2k-plyp-DFT-reverse,b2k-plyp-DFT-reaction
0,rxn_33,12.926,49.889,-36.964
1,rxn_365,27.706,58.633,-30.927
10,rxn_853,24.353,27.301,-2.948
12,rxn_1017,28.932,30.783,-1.851
13,rxn_1024,18.239,27.301,-9.062
15,rxn_1093,25.624,29.75,-4.126
18,rxn_1285,25.443,35.985,-10.542
21,rxn_1424,24.937,29.814,-4.877
23,rxn_1466,7.97,50.896,-42.926
29,rxn_1708,14.968,44.323,-29.356
31,rxn_1814,11.824,48.847,-37.024
34,rxn_2012,13.508,47.081,-33.573
35,rxn_2211,21.645,55.323,-33.678
37,rxn_2310,16.925,51.167,-34.243
38,rxn_2334,12.818,51.279,-38.462
40,rxn_2482,12.196,50.251,-38.055
47,rxn_3225,13.291,43.677,-30.386
49,rxn_3483,20.724,39.603,-18.878
54,rxn_4392,9.802,31.276,-21.475
56,rxn_5245,32.748,33.46,-0.712
58,rxn_5374,32.785,35.619,-2.833
61,rxn_5534,37.635,35.199,2.436
66,rxn_5751,25.76,39.385,-13.625
74,rxn_6105,35.424,45.19,-9.767
81,rxn_6322,60.714,54.389,6.326
85,rxn_6583,47.292,34.819,12.473
86,rxn_6612,27.997,18.849,9.148
88,rxn_7236,28.874,30.336,-1.462
93,rxn_7911,32.435,70.047,-37.612
