,Name,pbe0-DFT-forward,pbe0-DFT-reverse,pbe0-DFT-reaction
0,rxn_33,19.839,52.347,-32.508
1,rxn_365,31.06,61.366,-30.306
10,rxn_853,26.906,28.824,-1.918
12,rxn_1017,33.526,31.551,1.975
13,rxn_1024,17.711,28.395,-10.684
15,rxn_1093,29.84,30.809,-0.969
18,rxn_1285,25.18,36.831,-11.65
21,rxn_1424,28.129,30.757,-2.628
23,rxn_1466,11.784,55.237,-43.453
29,rxn_1708,17.874,47.122,-29.248
31,rxn_1814,11.236,51.418,-40.182
34,rxn_2012,14.794,49.189,-34.395
35,rxn_2211,21.839,56.941,-35.102
37,rxn_2310,20.736,52.195,-31.459
38,rxn_2334,18.187,54.781,-36.594
40,rxn_2482,17.476,53.462,-35.985
47,rxn_3225,17.867,45.409,-27.542
49,rxn_3483,26.101,40.714,-14.613
54,rxn_4392,7.773,30.351,-22.578
56,rxn_5245,33.924,37.42,-3.497
58,rxn_5374,32.925,39.328,-6.402
61,rxn_5534,35.461,37.303,-1.842
66,rxn_5751,28.248,40.012,-11.764
74,rxn_6105,37.774,45.077,-7.303
81,rxn_6322,57.485,57.561,-0.075
85,rxn_6583,47.418,37.043,10.375
86,rxn_6612,25.832,18.187,7.646
88,rxn_7236,28.33,32.182,-3.852
93,rxn_7911,31.377,73.051,-41.674
