,Name,wb2-plyp-DFT-forward,wb2-plyp-DFT-reverse,wb2-plyp-DFT-reaction
0,rxn_33,12.349,59.194,-46.846
1,rxn_365,28.063,69.081,-41.018
10,rxn_853,23.146,33.762,-10.616
12,rxn_1017,26.845,37.008,-10.163
13,rxn_1024,17.269,33.358,-16.089
15,rxn_1093,23.345,36.511,-13.165
18,rxn_1285,24.353,41.793,-17.441
21,rxn_1424,22.545,36.448,-13.903
23,rxn_1466,6.918,56.588,-49.67
29,rxn_1708,16.005,53.528,-37.524
31,rxn_1814,11.769,56.56,-44.791
34,rxn_2012,13.409,54.967,-41.558
35,rxn_2211,21.748,63.376,-41.628
37,rxn_2310,16.861,58.966,-42.106
38,rxn_2334,12.336,59.043,-46.706
40,rxn_2482,11.454,57.617,-46.163
47,rxn_3225,10.984,51.091,-40.107
49,rxn_3483,18.226,46.708,-28.482
54,rxn_4392,6.599,39.465,-32.866
56,rxn_5245,39.171,40.261,-1.091
58,rxn_5374,38.367,42.099,-3.732
61,rxn_5534,41.684,39.845,1.839
66,rxn_5751,31.802,45.027,-13.224
74,rxn_6105,41.173,51.081,-9.908
81,rxn_6322,65.422,62.577,2.845
85,rxn_6583,48.563,42.515,6.048
86,rxn_6612,27.913,23.675,4.238
88,rxn_7236,28.615,36.9,-8.285
93,rxn_7911,33.615,77.436,-43.821
