,Name,wb97x-v-DFT-forward,wb97x-v-DFT-reverse,wb97x-v-DFT-reaction
0,rxn_33,12.73,62.076,-49.346
1,rxn_365,28.719,70.737,-42.017
10,rxn_853,23.431,36.114,-12.683
12,rxn_1017,26.516,39.198,-12.682
13,rxn_1024,18.498,35.273,-16.775
15,rxn_1093,23.705,38.757,-15.053
18,rxn_1285,25.29,43.316,-18.026
21,rxn_1424,23.338,38.661,-15.323
23,rxn_1466,7.725,60.93,-53.205
29,rxn_1708,17.316,56.192,-38.876
31,rxn_1814,13.617,58.095,-44.478
34,rxn_2012,15.363,57.19,-41.827
35,rxn_2211,23.114,64.945,-41.83
37,rxn_2310,18.625,60.32,-41.695
38,rxn_2334,14.418,60.721,-46.303
40,rxn_2482,13.608,59.329,-45.721
47,rxn_3225,11.833,52.308,-40.475
49,rxn_3483,18.046,48.139,-30.093
54,rxn_4392,9.817,40.819,-31.002
56,rxn_5245,40.439,43.412,-2.973
58,rxn_5374,39.546,45.265,-5.719
61,rxn_5534,42.568,42.087,0.481
66,rxn_5751,32.404,47.708,-15.304
74,rxn_6105,40.88,53.42,-12.539
81,rxn_6322,66.294,65.382,0.912
85,rxn_6583,48.172,44.939,3.233
86,rxn_6612,27.76,24.2,3.56
88,rxn_7236,28.906,38.907,-10.001
93,rxn_7911,34.551,78.501,-43.95
