,Name,b2-plyp-DFT-forward,b2-plyp-DFT-reverse,b2-plyp-DFT-reaction
0,rxn_33,17.755,45.992,-28.236
1,rxn_53,25.746,50.215,-24.469
2,rxn_83,14.712,39.486,-24.773
3,rxn_216,18.204,39.201,-20.998
4,rxn_310,16.69,45.399,-28.709
5,rxn_365,30.912,54.192,-23.28
8,rxn_632,18.578,47.16,-28.583
12,rxn_721,20.235,50.219,-29.984
13,rxn_745,26.258,21.871,4.387
14,rxn_751,11.288,14.306,-3.018
15,rxn_769,29.385,23.2,6.185
19,rxn_839,24.581,26.072,-1.491
20,rxn_853,28.182,24.629,3.553
22,rxn_942,29.094,40.073,-10.979
23,rxn_971,28.025,34.823,-6.798
24,rxn_1000,38.247,29.066,9.18
25,rxn_1011,39.443,27.18,12.263
26,rxn_1017,33.451,27.816,5.635
27,rxn_1024,20.694,24.32,-3.627
29,rxn_1093,30.318,26.587,3.731
30,rxn_1181,23.56,26.253,-2.693
32,rxn_1225,20.69,22.156,-1.466
34,rxn_1248,30.642,25.337,5.305
35,rxn_1285,27.688,32.907,-5.22
38,rxn_1394,22.619,23.447,-0.828
39,rxn_1424,29.371,26.656,2.716
40,rxn_1441,33.226,29.685,3.541
41,rxn_1463,14.913,50.205,-35.292
42,rxn_1466,11.462,49.389,-37.927
43,rxn_1469,13.173,51.515,-38.342
44,rxn_1479,23.252,53.416,-30.164
45,rxn_1480,16.847,47.719,-30.872
47,rxn_1495,14.081,52.041,-37.959
49,rxn_1536,15.485,38.583,-23.098
50,rxn_1606,18.701,42.703,-24.002
51,rxn_1708,18.193,40.433,-22.24
53,rxn_1779,16.792,38.588,-21.797
54,rxn_1801,12.198,46.676,-34.478
55,rxn_1814,13.887,45.079,-31.192
56,rxn_1886,22.917,45.636,-22.719
58,rxn_1919,16.475,35.809,-19.334
60,rxn_2012,16.302,43.426,-27.124
61,rxn_2211,23.761,51.285,-27.524
63,rxn_2260,14.561,48.905,-34.344
64,rxn_2270,15.079,46.231,-31.153
65,rxn_2310,19.85,46.612,-26.762
66,rxn_2326,24.85,47.945,-23.095
67,rxn_2334,16.961,47.988,-31.027
68,rxn_2468,24.802,45.915,-21.113
69,rxn_2473,11.419,48.14,-36.721
71,rxn_2482,16.461,47.16,-30.699
72,rxn_2517,22.603,46.589,-23.986
73,rxn_2530,17.874,47.928,-30.054
75,rxn_2645,15.427,45.639,-30.212
76,rxn_2672,15.219,48.244,-33.025
77,rxn_2676,8.65,45.266,-36.617
79,rxn_2720,12.232,46.98,-34.748
80,rxn_2759,16.759,48.155,-31.396
81,rxn_2760,13.335,47.709,-34.374
82,rxn_2890,15.337,46.296,-30.959
84,rxn_2972,28.921,39.126,-10.205
86,rxn_3030,15.222,37.783,-22.56
88,rxn_3198,9.295,36.128,-26.834
89,rxn_3225,16.615,39.821,-23.206
91,rxn_3483,24.803,35.785,-10.982
92,rxn_3536,23.206,35.365,-12.159
93,rxn_3759,-3.949,21.779,-25.728
95,rxn_3781,-0.784,24.396,-25.18
97,rxn_4123,7.411,32.746,-25.335
99,rxn_4392,9.521,24.916,-15.395
100,rxn_4581,26.816,37.212,-10.396
101,rxn_4652,-1.273,31.759,-33.032
103,rxn_4937,10.64,24.51,-13.87
104,rxn_5047,5.148,34.464,-29.316
105,rxn_5129,2.902,30.269,-27.368
106,rxn_5191,40.942,34.854,6.089
107,rxn_5245,31.001,32.636,-1.635
108,rxn_5345,32.161,36.304,-4.143
109,rxn_5374,31.044,34.88,-3.836
111,rxn_5432,29.558,43.113,-13.555
112,rxn_5506,29.96,33.983,-4.023
113,rxn_5534,36.744,35.325,1.419
116,rxn_5581,28.105,42.244,-14.139
117,rxn_5582,20.507,29.046,-8.539
118,rxn_5590,26.3,33.62,-7.319
119,rxn_5616,25.046,32.887,-7.841
121,rxn_5653,26.19,36.454,-10.264
123,rxn_5748,21.8,44.816,-23.015
124,rxn_5751,24.363,36.674,-12.311
125,rxn_5756,27.554,43.433,-15.879
127,rxn_5854,25.982,37.416,-11.434
131,rxn_5956,34.786,54.065,-19.279
135,rxn_5998,24.956,40.625,-15.669
136,rxn_6105,33.373,41.44,-8.067
139,rxn_6178,33.722,51.395,-17.673
140,rxn_6180,23.443,31.954,-8.512
143,rxn_6261,26.077,38.986,-12.908
145,rxn_6317,53.449,47.955,5.494
146,rxn_6322,59.896,51.259,8.637
149,rxn_6410,29.177,16.774,12.403
151,rxn_6583,48.086,30.704,17.383
152,rxn_6612,28.414,15.495,12.919
154,rxn_7236,29.623,26.747,2.876
157,rxn_7614,29.329,23.737,5.593
160,rxn_7911,33.56,66.632,-33.072
161,rxn_7955,30.605,65.792,-35.187
168,rxn_8339,22.685,64.17,-41.485
169,rxn_8396,27.56,64.461,-36.901
