,Name,blyp-DFT-forward,blyp-DFT-reverse,blyp-DFT-reaction
0,rxn_33,30.678,34.811,-4.133
1,rxn_53,37.707,38.983,-1.276
2,rxn_83,26.285,28.56,-2.274
3,rxn_216,31.028,31.273,-0.245
4,rxn_310,27.887,33.731,-5.844
5,rxn_365,39.129,41.534,-2.405
8,rxn_632,32.043,37.467,-5.424
12,rxn_721,27.966,38.697,-10.731
13,rxn_745,35.383,13.402,21.981
14,rxn_751,19.83,3.834,15.996
15,rxn_769,39.691,13.666,26.025
19,rxn_839,31.863,17.075,14.788
20,rxn_853,37.818,16.562,21.256
22,rxn_942,34.427,29.954,4.473
23,rxn_971,35.036,25.139,9.897
24,rxn_1000,48.627,19.783,28.844
25,rxn_1011,52.242,18.785,33.457
26,rxn_1017,45.447,19.028,26.419
27,rxn_1024,26.58,15.602,10.978
29,rxn_1093,42.755,17.418,25.337
30,rxn_1181,29.098,17.749,11.348
32,rxn_1225,29.206,14.054,15.152
34,rxn_1248,42.409,16.628,25.782
35,rxn_1285,33.15,23.844,9.306
38,rxn_1394,29.793,13.638,16.155
39,rxn_1424,41.059,17.482,23.578
40,rxn_1441,43.015,20.276,22.739
41,rxn_1463,24.288,44.701,-20.414
42,rxn_1466,20.178,44.161,-23.983
43,rxn_1469,22.683,45.207,-22.524
44,rxn_1479,34.055,45.455,-11.401
45,rxn_1480,29.484,42.229,-12.745
47,rxn_1495,25.013,45.733,-20.72
49,rxn_1536,23.257,28.118,-4.862
50,rxn_1606,26.671,32.706,-6.035
51,rxn_1708,26.098,29.389,-3.291
53,rxn_1779,24.972,27.975,-3.002
54,rxn_1801,17.432,36.699,-19.267
55,rxn_1814,18.777,34.696,-15.919
56,rxn_1886,31.323,34.807,-3.484
58,rxn_1919,22.804,23.974,-1.17
60,rxn_2012,23.215,33.131,-9.917
61,rxn_2211,28.726,39.812,-11.086
63,rxn_2260,26.777,39.002,-12.225
64,rxn_2270,28.738,38.138,-9.399
65,rxn_2310,28.613,34.83,-6.217
66,rxn_2326,36.026,38.702,-2.676
67,rxn_2334,27.714,38.523,-10.808
68,rxn_2468,35.523,36.496,-0.973
69,rxn_2473,21.291,39.823,-18.531
71,rxn_2482,27.641,38.315,-10.674
72,rxn_2517,33.475,36.862,-3.387
73,rxn_2530,29.356,38.226,-8.869
75,rxn_2645,25.011,36.021,-11.01
76,rxn_2672,27.218,39.616,-12.399
77,rxn_2676,16.93,35.196,-18.265
79,rxn_2720,25.127,39.069,-13.942
80,rxn_2759,31.003,39.382,-8.379
81,rxn_2760,25.574,39.626,-14.052
82,rxn_2890,24.404,36.144,-11.74
84,rxn_2972,38.733,28.043,10.69
86,rxn_3030,24.721,26.3,-1.579
88,rxn_3198,17.624,24.938,-7.314
89,rxn_3225,25.828,29.778,-3.949
91,rxn_3483,35.921,25.946,9.975
92,rxn_3536,32.01,23.313,8.697
93,rxn_3759,2.787,13.634,-10.848
95,rxn_3781,4.413,14.951,-10.538
97,rxn_4123,11.683,22.632,-10.949
99,rxn_4392,9.98,10.169,-0.19
100,rxn_4581,37.536,22.438,15.098
101,rxn_4652,8.849,19.252,-10.403
103,rxn_4937,22.832,12.213,10.619
104,rxn_5047,13.273,21.657,-8.384
105,rxn_5129,14.087,17.286,-3.199
106,rxn_5191,36.792,30.622,6.17
107,rxn_5245,25.582,29.873,-4.291
108,rxn_5345,27.007,33.298,-6.291
109,rxn_5374,25.507,32.33,-6.823
111,rxn_5432,24.22,41.276,-17.056
112,rxn_5506,25.112,30.881,-5.769
113,rxn_5534,33.685,35.636,-1.95
116,rxn_5581,23.914,35.233,-11.319
117,rxn_5582,14.556,18.913,-4.356
118,rxn_5590,22.981,26.16,-3.179
119,rxn_5616,20.899,22.839,-1.94
121,rxn_5653,21.435,27.511,-6.076
123,rxn_5748,16.506,35.789,-19.283
124,rxn_5751,20.916,29.454,-8.538
125,rxn_5756,23.08,35.182,-12.101
127,rxn_5854,21.871,28.987,-7.116
131,rxn_5956,27.436,44.118,-16.682
135,rxn_5998,19.963,33.419,-13.456
136,rxn_6105,29.122,32.166,-3.044
139,rxn_6178,27.13,41.984,-14.853
140,rxn_6180,20.652,23.187,-2.535
143,rxn_6261,22.269,31.138,-8.87
145,rxn_6317,50.365,39.323,11.042
146,rxn_6322,57.2,43.264,13.936
149,rxn_6410,32.711,8.589,24.122
151,rxn_6583,50.698,20.747,29.952
152,rxn_6612,29.86,6.738,23.122
154,rxn_7236,31.532,17.832,13.7
157,rxn_7614,32.731,15.124,17.606
160,rxn_7911,36.0,56.917,-20.917
161,rxn_7955,32.031,54.354,-22.324
168,rxn_8339,23.096,53.023,-29.927
169,rxn_8396,29.361,54.095,-24.734
