,Name,rsx-0dh-DFT-forward,rsx-0dh-DFT-reverse,rsx-0dh-DFT-reaction
0,rxn_33,14.299,70.972,-56.672
1,rxn_53,22.158,74.393,-52.234
2,rxn_83,10.877,61.824,-50.947
3,rxn_216,13.223,59.133,-45.909
4,rxn_310,13.169,71.075,-57.906
5,rxn_365,29.123,81.304,-52.181
8,rxn_632,14.76,69.903,-55.143
12,rxn_721,17.593,75.596,-58.003
13,rxn_745,19.362,39.366,-20.004
14,rxn_751,5.482,33.03,-27.548
15,rxn_769,23.428,41.187,-17.759
19,rxn_839,18.168,42.391,-24.222
20,rxn_853,20.895,41.497,-20.602
22,rxn_942,25.227,58.006,-32.778
23,rxn_971,22.455,51.907,-29.452
24,rxn_1000,31.937,46.029,-14.092
25,rxn_1011,31.556,44.59,-13.034
26,rxn_1017,26.183,44.667,-18.484
27,rxn_1024,14.799,41.277,-26.477
29,rxn_1093,22.056,44.654,-22.598
30,rxn_1181,17.758,42.912,-25.154
32,rxn_1225,13.4,39.13,-25.73
34,rxn_1248,22.651,42.761,-20.111
35,rxn_1285,22.457,49.715,-27.258
38,rxn_1394,16.421,40.924,-24.503
39,rxn_1424,20.522,44.525,-24.004
40,rxn_1441,27.322,47.092,-19.77
41,rxn_1463,10.34,65.371,-55.031
42,rxn_1466,6.837,64.927,-58.09
43,rxn_1469,10.374,68.54,-58.165
44,rxn_1479,20.804,71.991,-51.187
45,rxn_1480,13.304,64.219,-50.915
47,rxn_1495,10.832,69.475,-58.642
49,rxn_1536,12.494,62.348,-49.854
50,rxn_1606,15.322,66.058,-50.736
51,rxn_1708,16.009,65.093,-49.084
53,rxn_1779,13.995,62.795,-48.8
54,rxn_1801,8.879,68.785,-59.906
55,rxn_1814,10.118,67.324,-57.206
56,rxn_1886,19.492,69.427,-49.934
58,rxn_1919,15.006,61.253,-46.246
60,rxn_2012,12.8,65.673,-52.873
61,rxn_2211,21.097,73.971,-52.875
63,rxn_2260,10.689,70.672,-59.982
64,rxn_2270,9.182,66.173,-56.991
65,rxn_2310,18.221,69.36,-51.139
66,rxn_2326,21.039,69.173,-48.134
67,rxn_2334,12.748,69.53,-56.782
68,rxn_2468,21.284,67.1,-45.816
69,rxn_2473,7.716,68.184,-60.467
71,rxn_2482,11.604,67.542,-55.938
72,rxn_2517,19.684,68.151,-48.467
73,rxn_2530,13.639,69.171,-55.532
75,rxn_2645,11.094,66.739,-55.645
76,rxn_2672,10.765,68.829,-58.064
77,rxn_2676,4.241,65.101,-60.86
79,rxn_2720,7.122,66.269,-59.147
80,rxn_2759,11.737,68.958,-57.221
81,rxn_2760,8.533,67.502,-58.969
82,rxn_2890,12.559,67.889,-55.33
84,rxn_2972,24.842,61.409,-36.567
86,rxn_3030,10.754,60.067,-49.313
88,rxn_3198,3.739,56.365,-52.626
89,rxn_3225,12.34,60.98,-48.64
91,rxn_3483,18.612,56.068,-37.456
92,rxn_3536,17.698,58.049,-40.351
93,rxn_3759,-17.125,34.149,-51.274
95,rxn_3781,-10.817,40.078,-50.896
97,rxn_4123,-2.879,47.918,-50.797
99,rxn_4392,6.815,50.127,-43.312
100,rxn_4581,23.874,61.73,-37.856
101,rxn_4652,-6.201,52.398,-58.598
103,rxn_4937,5.354,46.191,-40.837
104,rxn_5047,1.952,55.346,-53.394
105,rxn_5129,-1.386,53.718,-55.105
106,rxn_5191,51.668,46.623,5.044
107,rxn_5245,45.917,46.768,-0.851
108,rxn_5345,45.711,48.95,-3.239
109,rxn_5374,44.011,48.362,-4.351
111,rxn_5432,42.315,53.571,-11.256
112,rxn_5506,43.542,47.655,-4.113
113,rxn_5534,43.191,42.614,0.577
116,rxn_5581,42.387,58.485,-16.098
117,rxn_5582,36.708,46.731,-10.023
118,rxn_5590,40.022,49.071,-9.049
119,rxn_5616,39.838,50.398,-10.559
121,rxn_5653,40.818,53.529,-12.712
123,rxn_5748,37.135,61.928,-24.794
124,rxn_5751,37.792,52.154,-14.362
125,rxn_5756,42.199,59.974,-17.775
127,rxn_5854,41.206,54.552,-13.346
131,rxn_5956,50.963,71.038,-20.075
135,rxn_5998,37.685,55.602,-17.917
136,rxn_6105,48.003,58.687,-10.684
139,rxn_6178,51.37,71.498,-20.129
140,rxn_6180,36.667,47.96,-11.294
143,rxn_6261,38.977,53.209,-14.233
145,rxn_6317,57.551,67.794,-10.243
146,rxn_6322,64.941,72.235,-7.294
149,rxn_6410,25.606,35.51,-9.905
151,rxn_6583,47.719,52.785,-5.066
152,rxn_6612,26.058,29.664,-3.606
154,rxn_7236,27.459,45.731,-18.273
157,rxn_7614,26.213,43.401,-17.188
160,rxn_7911,32.266,88.235,-55.969
161,rxn_7955,30.287,88.207,-57.92
168,rxn_8339,22.332,88.399,-66.067
169,rxn_8396,25.654,87.792,-62.138
