,Name,wb2-plyp18-DFT-forward,wb2-plyp18-DFT-reverse,wb2-plyp18-DFT-reaction
0,rxn_33,7.914,53.001,-45.087
1,rxn_53,16.666,57.654,-40.987
2,rxn_83,5.002,45.738,-40.736
3,rxn_216,8.56,43.52,-34.96
4,rxn_310,7.933,53.141,-45.208
5,rxn_365,23.242,63.416,-40.174
8,rxn_632,8.473,53.306,-44.833
12,rxn_721,13.417,58.166,-44.749
13,rxn_745,18.718,27.23,-8.511
14,rxn_751,3.363,20.271,-16.908
15,rxn_769,20.85,28.966,-8.116
19,rxn_839,17.571,30.84,-13.269
20,rxn_853,20.385,29.791,-9.406
22,rxn_942,22.764,45.36,-22.596
23,rxn_971,20.958,39.906,-18.948
24,rxn_1000,29.208,34.494,-5.286
25,rxn_1011,28.358,32.629,-4.272
26,rxn_1017,23.391,32.881,-9.49
27,rxn_1024,14.419,29.363,-14.943
29,rxn_1093,19.826,32.434,-12.608
30,rxn_1181,17.473,31.178,-13.705
32,rxn_1225,13.045,27.066,-14.021
34,rxn_1248,20.842,30.634,-9.793
35,rxn_1285,21.567,37.839,-16.272
38,rxn_1394,15.742,28.994,-13.252
39,rxn_1424,19.209,32.34,-13.13
40,rxn_1441,24.416,35.104,-10.689
41,rxn_1463,6.017,54.113,-48.096
42,rxn_1466,3.027,53.496,-50.469
43,rxn_1469,4.839,56.259,-51.419
44,rxn_1479,14.226,59.659,-45.433
45,rxn_1480,7.419,52.193,-44.775
47,rxn_1495,4.787,56.707,-51.919
49,rxn_1536,9.082,45.773,-36.691
50,rxn_1606,11.759,49.254,-37.495
51,rxn_1708,11.84,48.001,-36.16
53,rxn_1779,10.45,46.046,-35.597
54,rxn_1801,6.769,53.343,-46.574
55,rxn_1814,8.389,51.804,-43.415
56,rxn_1886,15.344,52.782,-37.438
58,rxn_1919,10.88,43.861,-32.98
60,rxn_2012,9.399,49.58,-40.181
61,rxn_2211,18.039,58.182,-40.142
63,rxn_2260,5.469,56.092,-50.624
64,rxn_2270,4.74,52.146,-47.407
65,rxn_2310,12.091,54.82,-42.729
66,rxn_2326,15.735,55.094,-39.36
67,rxn_2334,8.595,54.809,-46.215
68,rxn_2468,16.083,53.125,-37.042
69,rxn_2473,3.652,54.232,-50.58
71,rxn_2482,7.813,53.565,-45.751
72,rxn_2517,13.822,53.851,-40.029
73,rxn_2530,9.318,55.118,-45.8
75,rxn_2645,7.526,52.246,-44.72
76,rxn_2672,6.283,54.494,-48.211
77,rxn_2676,0.64,51.639,-50.999
79,rxn_2720,2.476,52.661,-50.185
80,rxn_2759,5.876,54.201,-48.324
81,rxn_2760,3.903,53.454,-49.551
82,rxn_2890,8.025,53.187,-45.162
84,rxn_2972,19.817,46.022,-26.205
86,rxn_3030,7.039,44.466,-37.427
88,rxn_3198,0.283,41.94,-41.657
89,rxn_3225,7.96,46.05,-38.089
91,rxn_3483,15.4,41.527,-26.128
92,rxn_3536,14.922,42.628,-27.706
93,rxn_3759,-13.374,25.794,-39.168
95,rxn_3781,-9.15,29.28,-38.43
97,rxn_4123,-0.748,37.228,-37.975
99,rxn_4392,3.928,33.52,-29.592
100,rxn_4581,17.66,46.332,-28.672
101,rxn_4652,-9.852,38.985,-48.836
103,rxn_4937,1.614,32.373,-30.76
104,rxn_5047,-2.409,41.963,-44.373
105,rxn_5129,-5.547,38.578,-44.124
106,rxn_5191,42.561,38.855,3.707
107,rxn_5245,33.697,36.129,-2.432
108,rxn_5345,34.834,39.326,-4.492
109,rxn_5374,33.387,37.757,-4.37
111,rxn_5432,31.91,45.356,-13.446
112,rxn_5506,32.074,37.587,-5.512
113,rxn_5534,37.161,36.136,1.025
116,rxn_5581,30.721,45.47,-14.748
117,rxn_5582,24.908,34.139,-9.231
118,rxn_5590,28.966,37.268,-8.302
119,rxn_5616,28.344,37.962,-9.618
121,rxn_5653,29.881,40.624,-10.743
123,rxn_5748,25.445,48.3,-22.856
124,rxn_5751,27.322,40.043,-12.721
125,rxn_5756,30.292,47.266,-16.974
127,rxn_5854,29.607,41.463,-11.856
131,rxn_5956,39.226,58.447,-19.22
135,rxn_5998,28.47,43.795,-15.325
136,rxn_6105,36.063,46.193,-10.13
139,rxn_6178,38.275,55.77,-17.495
140,rxn_6180,25.524,36.134,-10.61
143,rxn_6261,28.572,42.592,-14.02
145,rxn_6317,54.904,53.619,1.285
146,rxn_6322,61.762,57.148,4.614
149,rxn_6410,25.993,21.913,4.079
151,rxn_6583,45.987,37.054,8.934
152,rxn_6612,25.971,20.412,5.559
154,rxn_7236,26.714,32.601,-5.888
157,rxn_7614,26.1,29.155,-3.055
160,rxn_7911,29.934,72.318,-42.384
161,rxn_7955,28.105,72.607,-44.501
168,rxn_8339,20.105,71.643,-51.537
169,rxn_8396,24.67,71.044,-46.374
