,Name,wb97x-DFT-forward,wb97x-DFT-reverse,wb97x-DFT-reaction
0,rxn_33,21.634,62.059,-40.425
1,rxn_53,29.56,65.798,-36.238
2,rxn_83,19.373,55.181,-35.808
3,rxn_216,21.883,53.319,-31.436
4,rxn_310,20.95,61.913,-40.962
5,rxn_365,35.454,70.669,-35.214
8,rxn_632,22.774,62.079,-39.306
12,rxn_721,24.58,66.211,-41.631
13,rxn_745,28.535,33.509,-4.974
14,rxn_751,13.359,24.691,-11.332
15,rxn_769,32.111,34.99,-2.879
19,rxn_839,26.399,36.307,-9.907
20,rxn_853,30.218,35.995,-5.776
22,rxn_942,31.893,50.371,-18.477
23,rxn_971,30.338,45.255,-14.917
24,rxn_1000,40.385,39.888,0.498
25,rxn_1011,41.663,38.469,3.194
26,rxn_1017,35.432,38.746,-3.314
27,rxn_1024,23.119,34.946,-11.826
29,rxn_1093,32.128,37.877,-5.748
30,rxn_1181,26.059,36.783,-10.725
32,rxn_1225,22.9,33.246,-10.346
34,rxn_1248,32.55,36.657,-4.106
35,rxn_1285,29.98,43.122,-13.142
38,rxn_1394,25.004,34.835,-9.831
39,rxn_1424,31.004,37.849,-6.844
40,rxn_1441,35.609,40.488,-4.879
41,rxn_1463,18.42,60.431,-42.011
42,rxn_1466,14.857,59.535,-44.678
43,rxn_1469,16.36,61.11,-44.75
44,rxn_1479,25.962,63.338,-37.376
45,rxn_1480,19.851,57.547,-37.695
47,rxn_1495,16.742,61.434,-44.692
49,rxn_1536,21.031,53.62,-32.589
50,rxn_1606,23.296,56.793,-33.498
51,rxn_1708,23.846,55.876,-32.03
53,rxn_1779,22.394,53.876,-31.482
54,rxn_1801,16.731,59.557,-42.826
55,rxn_1814,18.013,58.136,-40.123
56,rxn_1886,27.348,59.919,-32.571
58,rxn_1919,22.46,51.554,-29.094
60,rxn_2012,20.975,56.918,-35.943
61,rxn_2211,28.131,64.713,-36.582
63,rxn_2260,19.203,61.347,-42.144
64,rxn_2270,18.636,57.89,-39.254
65,rxn_2310,24.501,57.999,-33.498
66,rxn_2326,29.72,60.076,-30.356
67,rxn_2334,21.534,60.387,-38.853
68,rxn_2468,29.639,57.852,-28.213
69,rxn_2473,15.925,59.877,-43.952
71,rxn_2482,20.591,58.971,-38.381
72,rxn_2517,27.355,58.277,-30.923
73,rxn_2530,22.494,60.342,-37.848
75,rxn_2645,19.639,58.073,-38.434
76,rxn_2672,19.566,59.725,-40.159
77,rxn_2676,13.401,57.204,-43.802
79,rxn_2720,15.246,58.138,-42.892
80,rxn_2759,20.37,60.164,-39.794
81,rxn_2760,16.583,59.097,-42.514
82,rxn_2890,20.119,58.567,-38.448
84,rxn_2972,29.92,50.829,-20.909
86,rxn_3030,16.673,50.055,-33.382
88,rxn_3198,9.776,46.56,-36.784
89,rxn_3225,17.953,51.198,-33.245
91,rxn_3483,25.067,46.889,-21.822
92,rxn_3536,24.041,47.993,-23.951
93,rxn_3759,-7.44,26.548,-33.988
95,rxn_3781,-3.112,30.533,-33.646
97,rxn_4123,4.588,38.407,-33.819
99,rxn_4392,12.762,38.44,-25.678
100,rxn_4581,27.968,49.244,-21.277
101,rxn_4652,0.456,42.594,-42.138
103,rxn_4937,12.621,36.926,-24.304
104,rxn_5047,7.841,45.447,-37.605
105,rxn_5129,4.828,43.27,-38.441
106,rxn_5191,51.135,47.403,3.731
107,rxn_5245,43.121,45.137,-2.016
108,rxn_5345,43.963,48.359,-4.396
109,rxn_5374,41.92,47.172,-5.252
111,rxn_5432,40.826,53.652,-12.826
112,rxn_5506,41.838,46.049,-4.211
113,rxn_5534,45.046,44.618,0.428
116,rxn_5581,37.866,54.326,-16.459
117,rxn_5582,30.878,41.409,-10.531
118,rxn_5590,35.747,45.133,-9.386
119,rxn_5616,34.135,44.89,-10.755
121,rxn_5653,36.327,48.942,-12.615
123,rxn_5748,31.995,57.311,-25.316
124,rxn_5751,34.604,49.231,-14.627
125,rxn_5756,36.844,55.325,-18.48
127,rxn_5854,36.041,50.316,-14.274
131,rxn_5956,44.451,65.781,-21.33
135,rxn_5998,34.215,52.09,-17.874
136,rxn_6105,42.429,53.656,-11.226
139,rxn_6178,44.661,64.655,-19.994
140,rxn_6180,32.742,44.062,-11.32
143,rxn_6261,35.504,50.425,-14.921
145,rxn_6317,60.3,62.433,-2.134
146,rxn_6322,67.382,66.453,0.929
149,rxn_6410,30.723,28.244,2.479
151,rxn_6583,51.932,44.091,7.842
152,rxn_6612,30.154,23.151,7.003
154,rxn_7236,32.444,37.929,-5.484
157,rxn_7614,32.248,35.561,-3.313
160,rxn_7911,39.053,79.088,-40.034
161,rxn_7955,35.704,78.352,-42.648
168,rxn_8339,28.755,77.455,-48.7
169,rxn_8396,33.895,77.804,-43.909
